Wall time,Step,Value
1614515755.4542174,1,1.8195064067840576
1614515806.273216,101,0.4379284083843231
1614515841.1131914,201,0.8328796625137329
1614515861.1651855,301,0.38162389397621155
1614515887.8511765,401,0.21398673951625824
1614515975.0238538,501,0.27562764286994934
1614515995.9688451,601,0.22221289575099945
1614516013.4048383,701,0.15719716250896454
1614516034.1428313,801,0.09153876453638077
1614516112.3826993,901,0.2809901237487793
1614516130.3357255,1001,0.0775594562292099
1614516147.6646864,1101,0.8857933282852173
1614516165.0276783,1201,0.12411394715309143
1614516244.7327564,1301,0.24764321744441986
1614516263.2267466,1401,0.069545678794384
1614516280.6227345,1501,0.43544673919677734
1614516298.0867255,1601,0.16002854704856873
1614516376.0961173,1701,0.16818465292453766
1614516393.4031081,1801,0.33605027198791504
1614516410.685098,1901,0.22801584005355835
1614516428.050085,2001,0.3827762007713318
1614516495.1133459,2101,0.18915575742721558
1614516512.4253347,2201,0.19582945108413696
1614516529.723325,2301,0.23022036254405975
1614516547.2653143,2401,0.04083004221320152
1614516625.8095508,2501,0.24074846506118774
1614516643.1755373,2601,0.4435703158378601
1614516660.528525,2701,0.12900495529174805
1614516677.8895135,2801,0.11496027559041977
1614516756.1695294,2901,0.24999688565731049
1614516773.471517,3001,0.2236204743385315
1614516790.8505058,3101,0.3551110625267029
1614516808.3414936,3201,0.21282432973384857
1614516874.5507693,3301,0.12031799554824829
1614516891.8897564,3401,0.11473602056503296
1614516909.381742,3501,0.0387471541762352
1614516926.7487886,3601,0.09393016248941422
1614517004.500892,3701,0.06047486513853073
1614517021.9768765,3801,0.1855066418647766
1614517039.3328643,3901,0.038860052824020386
1614517056.5148535,4001,0.15347006916999817
1614517135.0312366,4101,0.08327902853488922
1614517152.2662244,4201,0.050714246928691864
1614517169.6532068,4301,0.04634856805205345
1614517187.0481935,4401,0.09019608050584793
1614517204.3151762,4501,0.42900896072387695
1614517270.2759652,4601,0.19056415557861328
1614517287.6169488,4701,0.03910647705197334
1614517304.912932,4801,0.07804782688617706
1614517322.327917,4901,0.18083493411540985
1614517399.5461442,5001,0.0658426433801651
1614517416.9461293,5101,0.04819248989224434
1614517434.3521116,5201,0.09917575120925903
1614517451.786098,5301,0.0672960877418518
1614517517.3486762,5401,0.07699905335903168
1614517534.672657,5501,0.017157703638076782
1614517552.1826415,5601,0.16159434616565704
1614517569.5256217,5701,0.06332243978977203
1614517636.194556,5801,0.10411801189184189
